Timestamp,Raw Distance (cm),Smoothed Distance (cm)
1750625838.2357917,36.32,36.082
1750625838.339711,36.32,36.16
1750625838.4474854,35.88,36.15
1750625838.5506194,35.88,36.144
1750625838.670558,35.86,36.052
1750625838.7789195,35.86,35.96
1750625838.8808742,35.88,35.872
1750625838.9838488,35.88,35.872
1750625839.0861359,35.88,35.872
1750625839.1997948,35.88,35.876000000000005
1750625839.3101985,35.88,35.88
1750625839.4188285,35.93,35.89
1750625839.526454,35.93,35.9
1750625839.6334724,35.93,35.910000000000004
1750625839.7413235,36.39,36.012
1750625839.8497632,36.27,36.09
1750625839.9578197,36.84,36.272
1750625840.0661478,37.3,36.546
1750625840.1733391,36.84,36.728
1750625840.2816675,36.84,36.818000000000005
1750625840.3901088,37.25,37.014
1750625840.4971938,37.7,37.186
1750625840.604491,37.18,37.162
1750625840.7123194,37.75,37.344
1750625840.8221037,37.35,37.446
1750625840.9313412,37.35,37.466
1750625841.037501,36.84,37.294000000000004
1750625841.1453753,36.92,37.242000000000004
1750625841.2560985,37.34,37.160000000000004
1750625841.3638763,37.75,37.24
1750625841.472308,37.75,37.32
1750625841.5800416,37.75,37.502
1750625841.688984,37.75,37.668
1750625841.7969515,37.28,37.656
1750625841.9055593,38.14,37.734
1750625842.0140562,37.28,37.64
1750625842.123036,37.3,37.55
1750625842.2301028,37.7,37.54
1750625842.3364832,37.7,37.624
1750625842.447298,37.7,37.536
1750625842.557091,37.7,37.620000000000005
1750625842.6643887,36.84,37.528000000000006
1750625842.7742221,36.84,37.356
1750625842.8821852,37.23,37.262
1750625842.991247,37.7,37.262
1750625843.0994008,37.59,37.24
1750625843.208107,36.84,37.24
1750625843.3185833,36.84,37.24
1750625843.427815,37.7,37.334
1750625843.5354207,37.7,37.334
1750625843.6448083,36.84,37.184000000000005
1750625843.7546139,36.84,37.184000000000005
1750625843.863997,36.74,37.164
1750625843.9726014,37.7,37.164
1750625844.0767586,36.84,36.992000000000004
1750625844.188787,36.84,36.992000000000004
1750625844.2973826,37.7,37.164
1750625844.4055812,37.7,37.356
1750625844.5154772,37.7,37.356
1750625844.6250465,37.25,37.438
1750625844.7346046,37.25,37.52
1750625844.8434038,37.23,37.426
1750625844.9499993,37.23,37.332
1750625845.0600514,37.13,37.217999999999996
1750625845.1685874,37.64,37.296
1750625845.2779317,36.79,37.204
1750625845.3854165,36.79,37.116
1750625845.49334,37.64,37.198
1750625845.6021192,36.79,37.13
1750625845.7112288,36.79,36.96
1750625845.8189995,37.11,37.024
1750625845.9291835,37.25,37.116
1750625846.036271,37.23,37.034
1750625846.1460934,37.25,37.126
1750625846.2532918,37.99,37.366
1750625846.362993,38.09,37.562
1750625846.4710455,37.7,37.652
1750625846.580417,36.84,37.574000000000005
1750625846.6897297,37.59,37.642
1750625846.7984097,37.3,37.504000000000005
1750625846.9081542,36.99,37.284
1750625847.0147085,38.36,37.416000000000004
1750625847.1230428,44.38,38.924
1750625847.2312372,38.81,39.168
1750625847.34088,43.05,40.318
1750625847.4505606,39.91,40.902
1750625847.5588925,39.22,41.074
1750625847.6647232,39.87,40.172
1750625847.7747784,38.78,40.166
1750625847.8805294,39.87,39.53
1750625847.990896,40.29,39.606
1750625848.101908,38.86,39.534
1750625848.2108178,57.44,43.048
1750625848.318465,57.88,46.868
1750625848.427688,68.86,52.666
1750625848.5375414,39.1,52.428
1750625848.6460102,39.03,52.462
1750625848.755561,39.41,48.856
1750625848.8636925,39.07,45.094
1750625848.972672,38.57,39.036
1750625849.0820785,38.0,38.816
1750625849.1904957,37.59,38.528
1750625849.2978048,38.36,38.318
1750625849.4070218,38.06,38.116
1750625849.517595,38.06,38.014
1750625849.6264486,38.45,38.104
1750625849.7357295,38.35,38.256
1750625849.8438232,38.45,38.274
1750625849.9514544,38.96,38.454
1750625850.06012,39.02,38.646
1750625850.1682205,39.93,38.942
1750625850.2775652,39.98,39.268
1750625850.3887224,39.07,39.392
1750625850.5019605,38.76,39.352
1750625850.6176372,39.2,39.388
1750625850.7257555,38.81,39.164
1750625850.8334591,39.22,39.012
1750625850.9425972,58.19,42.836
1750625851.05044,39.46,42.976
1750625851.1620798,58.4,46.816
1750625851.269595,57.98,50.65
1750625851.3780172,39.51,50.708
1750625851.4874563,39.1,46.89
1750625851.5977564,39.96,46.99
1750625851.7046213,39.98,43.306
1750625851.8137193,39.98,39.705999999999996
1750625851.922332,39.87,39.778
1750625852.0291207,39.0,39.757999999999996
1750625852.13585,39.98,39.762
1750625852.2448275,39.48,39.662
1750625852.3518226,38.55,39.376
1750625852.460496,39.07,39.216
1750625852.564516,38.06,39.028
1750625852.6794047,58.6,42.752
1750625852.7872374,38.91,42.638
1750625852.89541,38.04,42.536
1750625853.0036194,37.75,42.272
1750625853.126748,37.18,42.096
1750625853.2375443,36.74,37.724
1750625853.3435378,37.59,37.46
1750625853.4538965,37.59,37.370000000000005
1750625853.5608058,37.49,37.318000000000005
1750625853.664049,37.59,37.400000000000006
1750625853.7660134,37.59,37.57
1750625853.8737304,37.59,37.57
1750625853.9826987,37.08,37.468
1750625854.0898845,37.2,37.410000000000004
1750625854.1981788,37.2,37.332
1750625854.3083484,37.59,37.332
1750625854.4163306,37.2,37.254000000000005
1750625854.5260086,37.2,37.278000000000006
1750625854.6529982,37.2,37.278000000000006
1750625854.754901,37.2,37.278000000000006
1750625854.860135,37.18,37.196000000000005
1750625854.9909422,37.2,37.196000000000005
1750625855.1044874,37.61,37.278
1750625855.2128007,37.1,37.258
1750625855.321891,37.2,37.258
1750625855.4291294,37.18,37.258
1750625855.5366566,37.2,37.258
1750625855.6595302,37.2,37.176
1750625855.7637506,37.59,37.274
1750625855.867725,37.1,37.254000000000005
1750625855.9763868,36.94,37.206
1750625856.0855122,37.08,37.182
1750625856.1910455,37.75,37.292
1750625856.3002188,38.96,37.566
1750625856.4092405,56.06,41.358
1750625856.5180836,45.4,43.05
1750625856.6257985,42.5,44.134
1750625856.731936,41.86,44.956
1750625856.8444333,41.19,45.402
1750625856.9519696,41.54,42.498
1750625857.0604684,41.9,41.798
1750625857.1695163,42.7,41.838
1750625857.2792127,41.74,41.814
1750625857.3870168,42.55,42.086
1750625857.4946344,42.96,42.37
1750625857.6023903,43.01,42.592
1750625857.710801,43.41,42.734
1750625857.8191059,45.04,43.394
1750625857.9211295,41.5,43.184
1750625858.0281866,41.61,42.914
1750625858.1317677,40.99,42.51
1750625858.2371597,57.83,45.394
1750625858.345491,57.59,47.904
1750625858.4554048,37.75,47.154
1750625858.5636404,37.35,46.302
1750625858.673052,36.94,45.492
1750625858.7837982,36.27,41.18
1750625858.8941717,36.38,36.938
1750625858.996075,37.3,36.848
1750625859.1124322,37.35,36.848
1750625859.221077,37.18,36.896
1750625859.3309765,37.75,37.192
1750625859.4385922,37.8,37.476
1750625859.5468614,37.8,37.576
1750625859.6553771,37.7,37.646
1750625859.763259,37.39,37.688
1750625859.8723474,37.39,37.616
1750625859.9812222,36.94,37.444
1750625860.0915706,37.25,37.334
1750625860.20016,37.35,37.264
1750625860.3061445,37.75,37.336
